feature,selected_in_n_folds,mean_rank,mean_abs_shap,selection_frequency
646000000,5,4.2,0.023662213069062087,1.0
1369000000,5,7.0,0.017117180962033452,1.0
962000000,5,15.2,0.015191987528361242,1.0
167000000,5,19.8,0.015173111382538112,1.0
1402000000,5,13.6,0.015070354952247766,1.0
1424000000,5,15.8,0.014704414160904863,1.0
1170000000,5,14.4,0.014526154893595027,1.0
1084000000,5,16.4,0.014259880645048573,1.0
1088000000,5,18.4,0.014116497874098586,1.0
639000000,5,20.6,0.014040848097897907,1.0
1025000000,5,23.6,0.013545421652778037,1.0
902000000,5,20.4,0.013469027980862289,1.0
725000000,5,19.4,0.01344287231134995,1.0
698000000,5,30.4,0.012485103636990375,1.0
1029000000,5,29.0,0.012462297157279699,1.0
1144000000,5,30.0,0.011991930234439046,1.0
715000000,5,29.0,0.011792466055929554,1.0
1110000000,4,2.5,0.022691483038698366,0.8
1054000000,4,9.25,0.017703743900912207,0.8
1370000000,4,12.5,0.015446654012747517,0.8
1169000000,4,22.5,0.013674060768594105,0.8
178000000,4,21.25,0.013286654022880139,0.8
1100000000,4,27.75,0.012627251609308195,0.8
695000000,4,31.25,0.011880980114449963,0.8
714000000,4,32.75,0.01127813554347614,0.8
707000000,4,35.25,0.011263860851265194,0.8
928000000,4,38.25,0.01095706058697814,0.8
690000000,3,4.0,0.021964803744515135,0.6
991000000,3,13.0,0.015682345640722024,0.6
1043000000,3,19.0,0.014032961672090859,0.6
1116000000,3,27.0,0.013016790417400476,0.6
929000000,3,27.666666666666668,0.01291562367446325,0.6
980000000,3,30.333333333333332,0.012377877773551357,0.6
1135000000,3,26.666666666666668,0.012247048853179425,0.6
173000000,3,32.666666666666664,0.011946757913908335,0.6
1060000000,3,32.333333333333336,0.011722583167675472,0.6
1003000000,3,35.0,0.011265770700778605,0.6
159000000,3,37.0,0.011142481656774256,0.6
621000000,3,28.666666666666668,0.011115996498380631,0.6
1140000000,3,32.0,0.011047495644701514,0.6
609000000,3,41.0,0.010431860142267777,0.6
1417000000,2,16.0,0.012990185032932394,0.4
716000000,2,26.0,0.012978980584475578,0.4
1428000000,2,18.5,0.012893250889865223,0.4
1383000000,2,19.5,0.012845482625491029,0.4
1394000000,2,21.0,0.012777339838518774,0.4
1056000000,2,29.5,0.012447670681536079,0.4
1420000000,2,17.5,0.012441935940540726,0.4
1431000000,2,18.0,0.01233727762654867,0.4
1398000000,2,24.5,0.012187450482209344,0.4
1070000000,2,16.5,0.012131605797960248,0.4
1065000000,2,34.0,0.011753698254790224,0.4
1261000000,2,29.0,0.011294313287022528,0.4
133000000,2,32.0,0.011201368680570464,0.4
1152000000,2,41.0,0.010935949614207699,0.4
1397000000,2,32.0,0.010855814595682606,0.4
724000000,2,29.0,0.01072487107233847,0.4
1112000000,2,44.0,0.010648650042720205,0.4
706000000,2,42.0,0.010618764423011053,0.4
1386000000,2,34.5,0.010611956011806103,0.4
165000000,2,42.5,0.010507884059501505,0.4
137000000,2,42.0,0.010385103135003779,0.4
1184000000,2,35.0,0.01023217413675517,0.4
174000000,1,2.0,0.018715337882928385,0.2
139000000,1,2.0,0.01804516572914406,0.2
693000000,1,12.0,0.015065268887324132,0.2
1067000000,1,26.0,0.013465414798720491,0.2
1005000000,1,27.0,0.013426194234086296,0.2
176000000,1,20.0,0.012996030628246865,0.2
1168000000,1,15.0,0.012773591217250756,0.2
710000000,1,25.0,0.012245355853305486,0.2
1121000000,1,20.0,0.011858022656755453,0.2
1204000000,1,21.0,0.011680554878860395,0.2
177000000,1,31.0,0.011626470040043814,0.2
705000000,1,42.0,0.011210725135073788,0.2
824000000,1,33.0,0.011165987656419879,0.2
1185000000,1,24.0,0.011150877235596155,0.2
161000000,1,39.0,0.011110043817087677,0.2
1066000000,1,30.0,0.010809218084275159,0.2
168000000,1,40.0,0.01068166182480305,0.2
660000000,1,41.0,0.010654922751691555,0.2
1105000000,1,28.0,0.010600610088278433,0.2
1279000000,1,29.0,0.010532910129648175,0.2
966000000,1,36.0,0.010383543474205241,0.2
1048000000,1,32.0,0.010123721903099977,0.2
37000000,1,38.0,0.010090028483413862,0.2
128000000,1,45.0,0.010074502993948959,0.2
903000000,1,49.0,0.010043454188953964,0.2
144000000,1,48.0,0.00993379403637138,0.2
131000000,1,49.0,0.009881868734495208,0.2
1159000000,1,41.0,0.009765255224164038,0.2
36000000,1,42.0,0.009757895476656253,0.2
884000000,1,43.0,0.009754953203094503,0.2
113000000,1,47.0,0.009680547000637673,0.2
130000000,1,48.0,0.009622775143384504,0.2
1236000000,1,46.0,0.009597380352552358,0.2
1167000000,1,49.0,0.00954719637788521,0.2
935000000,1,50.0,0.009450272149297856,0.2
1004000000,1,50.0,0.009211200341840938,0.2
689000000,1,45.0,0.00905958013219782,0.2
1126000000,1,46.0,0.009042185472888655,0.2
1177000000,1,48.0,0.008908889042419316,0.2
