metric,mean,std,min,max
roc_auc,0.9185769034122486,0.07001022678480646,0.8025555555555556,0.9868845170612427
ef1_percent,29.08494623655914,40.232652480128294,0.0,80.77956989247312
accuracy,0.845622055943576,0.09298798178770573,0.6995008319467554,0.9411177644710579
balanced_accuracy,0.8561232966544402,0.06847357763513709,0.7666666666666666,0.9503333333333333
precision,0.014610795626626616,0.008822481292606736,0.006600660066006601,0.027624309392265192
recall_sensitivity,0.8666666666666668,0.13944333775567927,0.6666666666666666,1.0
specificity,0.845579926642214,0.0932743445153674,0.6988996332110704,0.9413333333333334
f1,0.028598876130072382,0.016970100950663355,0.013114754098360656,0.053475935828877004
pooled_oof_roc_auc,0.9164322065915506,,,
pooled_oof_ef1_percent,33.17660044150111,,,
total_runtime_seconds,9054.841852334,,,
