outer_fold,feature,mean_abs_shap,rank,n_explained_samples,n_background_samples,n_explained_actives,selected
1,1370000000,0.01993691163893853,1,60,40,24,True
1,174000000,0.018715337882928385,2,60,40,24,True
1,1369000000,0.01708132130927591,3,60,40,24,True
1,1417000000,0.015116162285963937,4,60,40,24,True
1,1428000000,0.015111406373457809,5,60,40,24,True
1,1383000000,0.015104753728314272,6,60,40,24,True
1,1394000000,0.015020989669453068,7,60,40,24,True
1,716000000,0.014838837754259114,8,60,40,24,True
1,646000000,0.014584850947620059,9,60,40,24,True
1,707000000,0.01354753289488481,10,60,40,24,True
1,1402000000,0.013494301770359058,11,60,40,24,True
1,1420000000,0.013489726326801116,12,60,40,24,True
1,1424000000,0.013321072385813867,13,60,40,24,True
1,1431000000,0.013201133834762112,14,60,40,24,True
1,1168000000,0.012773591217250756,15,60,40,24,True
1,962000000,0.012669497359106269,16,60,40,24,True
1,725000000,0.012476427246598762,17,60,40,24,True
1,1070000000,0.012051357820356346,18,60,40,24,True
1,1397000000,0.011997850466278175,19,60,40,24,True
1,1121000000,0.011858022656755453,20,60,40,24,True
1,1386000000,0.011706796994554665,21,60,40,24,True
1,1170000000,0.011357742052305704,22,60,40,24,True
1,698000000,0.011318096853817914,23,60,40,24,True
1,1185000000,0.011150877235596155,24,60,40,24,True
1,639000000,0.011109544152379849,25,60,40,24,True
1,1184000000,0.010711313753220843,26,60,40,24,True
1,1084000000,0.01070381416219106,27,60,40,24,True
1,1105000000,0.010600610088278433,28,60,40,24,True
1,1279000000,0.010532910129648175,29,60,40,24,True
1,1088000000,0.010438413986189275,30,60,40,24,True
1,133000000,0.010288482551657577,31,60,40,24,True
1,1048000000,0.010123721903099977,32,60,40,24,True
1,724000000,0.010100517066051336,33,60,40,24,True
1,1025000000,0.010028724980600725,34,60,40,24,True
1,715000000,0.009899051131376627,35,60,40,24,True
1,178000000,0.00972420377831284,36,60,40,24,True
1,695000000,0.009606056087076592,37,60,40,24,True
1,902000000,0.009458387210122205,38,60,40,24,True
1,621000000,0.009421293708252032,39,60,40,24,True
1,1398000000,0.009336699189520839,40,60,40,24,True
1,1144000000,0.009221082426545752,41,60,40,24,True
1,167000000,0.009187934676700173,42,60,40,24,True
1,1003000000,0.009127160259285694,43,60,40,24,True
1,714000000,0.009123541107729878,44,60,40,24,True
1,689000000,0.00905958013219782,45,60,40,24,True
1,1126000000,0.009042185472888655,46,60,40,24,True
1,1029000000,0.008954241939608313,47,60,40,24,True
1,1177000000,0.008908889042419316,48,60,40,24,True
1,609000000,0.008461632602052838,49,60,40,24,True
1,1140000000,0.008309792361923467,50,60,40,24,True
2,1110000000,0.02718256431336569,1,60,40,24,True
2,646000000,0.02477926939017385,2,60,40,24,True
2,167000000,0.022828720161485558,3,60,40,24,True
2,1054000000,0.021716219856922913,4,60,40,24,True
2,1169000000,0.019581480813372232,5,60,40,24,True
2,690000000,0.01849304623901239,6,60,40,24,True
2,962000000,0.018148802773116934,7,60,40,24,True
2,1025000000,0.017136625951686878,8,60,40,24,True
2,991000000,0.016830520135246895,9,60,40,24,True
2,1369000000,0.016678188146942642,10,60,40,24,True
2,1116000000,0.01597648333097694,11,60,40,24,True
2,1100000000,0.015468428319047205,12,60,40,24,True
2,1043000000,0.015465373560660217,13,60,40,24,True
2,1084000000,0.015459715725523905,14,60,40,24,True
2,1088000000,0.014887045949972939,15,60,40,24,True
2,902000000,0.014760391133879936,16,60,40,24,True
2,1170000000,0.01409229014104572,17,60,40,24,True
2,178000000,0.014005030152821339,18,60,40,24,True
2,1029000000,0.013905987059848825,19,60,40,24,True
2,725000000,0.013701157445457964,20,60,40,24,True
2,929000000,0.013597833305876385,21,60,40,24,True
2,1140000000,0.013458839399292715,22,60,40,24,True
2,980000000,0.013323768708980614,23,60,40,24,True
2,715000000,0.012911029605683005,24,60,40,24,True
2,1056000000,0.01285803313444587,25,60,40,24,True
2,1135000000,0.012324898282459919,26,60,40,24,True
2,1060000000,0.011958270402007486,27,60,40,24,True
2,714000000,0.011886312989809699,28,60,40,24,True
2,621000000,0.01187913139103941,29,60,40,24,True
2,1402000000,0.011745606362886908,30,60,40,24,True
2,177000000,0.011626470040043814,31,60,40,24,True
2,1003000000,0.011567424748219281,32,60,40,24,True
2,1065000000,0.01148506295626123,33,60,40,24,True
2,173000000,0.011423206236135276,34,60,40,24,True
2,1424000000,0.01139072353286095,35,60,40,24,True
2,1152000000,0.011308191613006235,36,60,40,24,True
2,1144000000,0.011289782664893201,37,60,40,24,True
2,1261000000,0.010860186262523655,38,60,40,24,True
2,928000000,0.010602169351820154,39,60,40,24,True
2,137000000,0.010587530674844838,40,60,40,24,True
2,695000000,0.01055942831144241,41,60,40,24,True
2,639000000,0.0105485572346771,42,60,40,24,True
2,165000000,0.010504768261973685,43,60,40,24,True
2,698000000,0.01043293131671711,44,60,40,24,True
2,1112000000,0.010170294187098087,45,60,40,24,True
2,707000000,0.010116784098386315,46,60,40,24,True
2,113000000,0.009680547000637673,47,60,40,24,True
2,130000000,0.009622775143384504,48,60,40,24,True
2,1167000000,0.00954719637788521,49,60,40,24,True
2,935000000,0.009450272149297856,50,60,40,24,True
3,646000000,0.03670001282865621,1,60,40,24,True
3,690000000,0.027259186193152683,2,60,40,24,True
3,962000000,0.021630308610139475,3,60,40,24,True
3,1110000000,0.020446000755119677,4,60,40,24,True
3,1369000000,0.020013607934405424,5,60,40,24,True
3,1088000000,0.01919910795485417,6,60,40,24,True
3,1084000000,0.018921843289592646,7,60,40,24,True
3,1025000000,0.018774972908809414,8,60,40,24,True
3,1402000000,0.018659585545078215,9,60,40,24,True
3,1424000000,0.01799421046129957,10,60,40,24,True
3,1029000000,0.017554017010226478,11,60,40,24,True
3,902000000,0.017181726105902382,12,60,40,24,True
3,1144000000,0.016177884611441033,13,60,40,24,True
3,1054000000,0.01598195007436021,14,60,40,24,True
3,725000000,0.015924260612150302,15,60,40,24,True
3,929000000,0.015110915323501088,16,60,40,24,True
3,639000000,0.014831820432438966,17,60,40,24,True
3,1043000000,0.014627454559256563,18,60,40,24,True
3,1170000000,0.014201303329124972,19,60,40,24,True
3,178000000,0.014088020520224778,20,60,40,24,True
3,1100000000,0.014035028036017442,21,60,40,24,True
3,991000000,0.014014478545303253,22,60,40,24,True
3,1370000000,0.013957448775270099,23,60,40,24,True
3,928000000,0.013600379856135957,24,60,40,24,True
3,980000000,0.013542833471116978,25,60,40,24,True
3,1067000000,0.013465414798720491,26,60,40,24,True
3,1005000000,0.013426194234086296,27,60,40,24,True
3,715000000,0.013353271572942815,28,60,40,24,True
3,167000000,0.013193764262257006,29,60,40,24,True
3,1003000000,0.013102727094830844,30,60,40,24,True
3,1169000000,0.012314114781139151,31,60,40,24,True
3,714000000,0.012307268584033654,32,60,40,24,True
3,133000000,0.01211425480948335,33,60,40,24,True
3,1056000000,0.012037308228626286,34,60,40,24,True
3,1065000000,0.012022333553319216,35,60,40,24,True
3,1116000000,0.011911935241602646,36,60,40,24,True
3,695000000,0.011885147977566029,37,60,40,24,True
3,1060000000,0.011745207331287776,38,60,40,24,True
3,609000000,0.011686823701775413,39,60,40,24,True
3,1135000000,0.011576950239189941,40,60,40,24,True
3,698000000,0.011330016582392759,41,60,40,24,True
3,705000000,0.011210725135073788,42,60,40,24,True
3,1112000000,0.011127005898342321,43,60,40,24,True
3,716000000,0.011119123414692043,44,60,40,24,True
3,159000000,0.010862512093816508,45,60,40,24,True
3,1152000000,0.010563707615409163,46,60,40,24,True
3,707000000,0.010266308453337992,47,60,40,24,True
3,706000000,0.010106759276140357,48,60,40,24,True
3,903000000,0.010043454188953964,49,60,40,24,True
3,173000000,0.009909826892414092,50,60,40,24,True
4,1110000000,0.02614581662561071,1,60,40,24,True
4,646000000,0.026100321453269622,2,60,40,24,True
4,1054000000,0.02095968204001366,3,60,40,24,True
4,690000000,0.02014217880138033,4,60,40,24,True
4,698000000,0.01942355121218416,5,60,40,24,True
4,1170000000,0.017767035335179815,6,60,40,24,True
4,1369000000,0.017067549408088196,7,60,40,24,True
4,991000000,0.016202038241615927,8,60,40,24,True
4,1370000000,0.01579536084873653,9,60,40,24,True
4,695000000,0.015473288081714819,10,60,40,24,True
4,178000000,0.0153293616401616,11,60,40,24,True
4,693000000,0.015065268887324132,12,60,40,24,True
4,1402000000,0.014747766522072022,13,60,40,24,True
4,173000000,0.014507240613175636,14,60,40,24,True
4,1424000000,0.014404966963735845,15,60,40,24,True
4,725000000,0.014274467697386958,16,60,40,24,True
4,902000000,0.014020105158066407,17,60,40,24,True
4,639000000,0.01356385584820251,18,60,40,24,True
4,159000000,0.013039181052669362,19,60,40,24,True
4,176000000,0.012996030628246865,20,60,40,24,True
4,1084000000,0.012957358558535014,21,60,40,24,True
4,167000000,0.012890590468231704,22,60,40,24,True
4,962000000,0.012437773287978323,23,60,40,24,True
4,715000000,0.01225546055039734,24,60,40,24,True
4,710000000,0.012245355853305486,25,60,40,24,True
