metric,mean,std,min,max
roc_auc,0.8750455040569077,0.07535663231488923,0.7656666666666666,0.9473888888888888
ef1_percent,42.016129032258064,18.425292811581254,16.161290322580648,64.64516129032259
accuracy,0.8131603238337524,0.12054263087249696,0.6214238190286094,0.9504324683965403
balanced_accuracy,0.7566933199955541,0.07828531440402171,0.6439999999999999,0.8420000000000001
precision,0.010281185813051541,0.006142196054118046,0.0035087719298245615,0.020134228187919462
recall_sensitivity,0.7,0.13944333775567927,0.5,0.8333333333333334
specificity,0.8133866399911082,0.12086233503673616,0.6213333333333333,0.9513333333333334
f1,0.02011064870821791,0.011691123719581129,0.006980802792321117,0.03870967741935484
pooled_oof_roc_auc,0.8697157588283663,,,
pooled_oof_ef1_percent,43.12958057395143,,,
total_runtime_seconds,6605.578882792,,,
